Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
227133,B000V4PW6M,A1RRHET1QIP1YK,Daniel Hill,0,0,5,1237161600,banana carmels,Something different for a change of pace. Nice texture and taste. Soft and chewy. Great product.
212201,B000CNB4LE,A2YKLEW942F1UB,Camrea,1,1,5,1338249600,"Price jump on-line... can't find in stores,... what happened???","I love this drink! Tastes just like Yoohoo. Sadly, I saw the price jump and figured I should just buy it at my local Whole Foods...until I realized I can't find it there anymore either!! I don't know if it's being discontinued or what happened but I hope to find it again soon (and not for almost $60 a box)."
447125,B0002PCET8,A3P8ZINJYTAJP5,Aaron,0,0,5,1331596800,Love It!!!!!!!!!!!!!!!!!!!!,This soda is AMAZING!!!!! you have got to get your hands on it! It tastes like real candy (sweatarts) and once you take one sip you have to drink the entire bottle! Then you have to come back to Amazon and order more!!!!! Loved it!
27305,B000LBGBP6,AQHX3MG6JY68,"Dee Burns ""dee""",2,2,5,1219968000,Chocolate - goodness - WOW,"I can't stop eating these - so decadent <a href=""http://www.amazon.com/gp/product/B000LBGBP6"">Emily's Dark Chocolate Covered Mixed Berries</a>-affordable - what a treat"
248644,B004CZURWK,A1HD6Y4UDSYMC5,Mindy,0,0,5,1347840000,very pleased,Our Papillion is a very picky eater.  She loves the way this product is prepared.  I was very surprised and satisfied with the quality of the product and the packaging.
64008,B000NHYNNU,A36RGOVNCCA5KI,M. Barrow,0,0,5,1194566400,Good stuff,I decided to try this tea because I am a big fan of the Traditional Medicines Throat Coat tea. Echinacea Plus tastes good and is good for your immune system. Who could ask for more?
38016,B0000CERZK,AJ37ZHM9OJK2R,"P. Boatman ""NonCharon""",2,4,1,1218758400,Disappointing,I planted mine in a separate area next to my yellow and mixed color sunflowers and they never sprouted. (shrugs)  I wonder if I got an old batch of seeds.
492363,B0000GHNWM,A39NTI5NUNFJ48,Lee Harstad,5,5,5,1180310400,If there were any more stars to give that 5 stars...,"I would give it.  This hot sauce is the best hot sauce that has ever been made with human hands.  To compare this to Tabasco is an utter mockery, but that is the most common ""hot sauce"" that most Americans have experienced, so that is the one that I will compare it to.  Anyone that would try to genuinely compare the two should have a CAT scan done.  A 7 out of 10 as far as hotness, Tapatio can go on anything that you need to make spicy and tasty.  Try putting a couple of squirts of this Mexican nectar in a bag of Doritos and you WILL NOT be able to put them down.  Buy the 32 oz. size, you will not regret it!"
251640,B001SITYJ6,A2WRNV6AW3U4SQ,ashlie,0,1,4,1342742400,yummy,this was perfect for our road trips! not wanting to stop for snacks alot just pick up some jerky! yum!
364072,B005NVU64Q,ASFW4ZMNZJKDA,Mainiac,0,0,5,1320451200,Lovely,"This is wonderful semi-sweet chocolate.<br /><br />I usually favor dark chocolate, and this isn't as dark as I'd usually get, but I find this really a treat.<br /><br />Pros:<br />1. It's not too sugary sweet, like US chocolates tend to be.<br />2. The texture is good. Some chocolates seem a bit waxy to me, and this did, just a bit, on first taste, but that sense immediately went away.<br /><br />Cons:<br />1. Maybe the slight waxiness, but it's so slight that it's not enough to even lower this to four stars.<br /><br />I'm delighted with this chocolate and will get it again."
45718,B0041NYV8E,A343C98QJO0JBE,"Editor of Lillian's Diaries ""Sheryl Jones""",1,1,2,1333065600,Not My Cup of Tea,"It is a raw, cold day in Michigan today, the perfect time to try the Gold Kili All Natural Instant Ginger & Lemon Beverage Beverage. My first concern was that the directions are in ml instead of oz...so there had to be a math lesson before I could make the drink. That accomplished the steamy drink smelled so delicious. I was sure it would taste as good as it smelled and never even thought about adding a sweetner. The first sip was awful....it didn't taste at all lemony like it smelled. I can't identify the taste but do know my mouth and throat felt an unpleasant,almost stinging sensation. So, I added some sugar. The second and third sip were slightly better, but the stinging sensation was still there and the aftertaste did not go away quickly. The rest of the drink went down the sink drain....it was definitely not my cup of ""tea""."
462245,B006N3I7JO,A3L2SV7RMW8WC8,"Teresa A. Peavey ""TAP1""",2,2,5,1301184000,Tully's House Decaf,"Really smooth and mild. Great for the older folks that come to visit that do not want a ""rough"" cup of coffee."
179196,B008XOKY1U,A3U0YIPTZX8DZ4,vee,0,0,4,1339977600,Re-Rating,"Okay, I jumped the gun, because they were sending me the review information, before I received my chips, so I thought I would be honest, and indicate that I have not received them, and I wasn't happy about not receiving them. However overall, the service is not bad, and my chips are on the way.Sorry guys, they really are not bad people, I am just an impatient buyer... there, is that better?"
288904,B001BOXBAA,A3QDITMY3OOYRP,L. BLOUIN,1,1,5,1275436800,Amazing product! A+++++,"This is great food for dogs! My dogs usually weren't too enthusiastic about dry food, but they eat this stuff without any problems. I love that it is very healthy for them and grain-free with no undesirable ingredients. I supplement their food with salmon oil, so I'm happy to feed them this product, which has a reduced amount of fat. I also mix this dry food with other premium dry food or premium can food sometimes. I really enjoy providing my dogs with a variety of highly-palatable food that is good for them. One of my dogs had skin/allergy problems, and the healthy diet with reduced grains and increased omega oils has completely healed her skin and made her coat softer. This Wellness CORE Grain-free Dry Dog Food, Reduced Fat Recipe, is the one premium dry dog food that I mix with everything my dogs eat (with added salmon oil most of the time, although I did test them to see if they would eat it without the salmon oil, and they did). I highly recommend this wonderful product. A+++++"
378737,B008YA1LQK,A3Z6F4SAA13LS,Tattletale,0,0,5,1325116800,Great tasting coffee,"This is going to be a staple in my house from now on- good flavor, less jitters, makes a great 'anytime' coffee. Decaf can be so uninspiring.<br /><br />I wish they would make flavored half caf....are you listening, Green Mountain.."
3427,B005K4Q1VI,A1J0H6L8PTVNH7,sxbaughsx3,0,0,5,1321142400,Fantastic,"Out of all of the hot chocolate kcups that I have tried this is by far the best one. Not weird aftertaste, and not watered down. Tastes amazing and priced fairly, what more could you ask for?"
238927,B001396HQS,A25SE7SO5V0385,Tanya Engle,0,0,5,1319673600,Great puppy food!,"My german shepherd puppy loves this food.  It is very soft, so it mixes with her dry food easily.  The ingredients are fantastic so I know she is eating quality food."
267403,B008MPC2LK,AXHTH0EL75SOJ,"Rowan Oak ""missrowanoak""",1,1,4,1309219200,I love Eden brand,"I love Eden brand beans. Much more affordable than in the store. I haven't had any dented cans of beans or any problems. So far, so good!"
